Sample Name,Peak Number,Name,RT,Area,Height,% Area,Total Area,Int Type,RRT,Sample Base Name
DPS21003-1,1,3,0.405,768,114,0.0073,10473763,BB,0.026628969688999936,DPS21003
DPS21003-1,21,35,0.281,582,52,0.0056,10473763,BB,0.01847590242619502,DPS21003
DPS21003-1,2,5,0.197,320,33,0.0031,10473763,BV,0.012952856861069105,DPS21003
DPS21003-1,22,36,0.426,1537,73,0.0147,10473763,BB,0.028009731080281413,DPS21003
DPS21003-1,3,5,0.34,165,19,0.0016,10473763,VV,0.02235518443027155,DPS21003
DPS21003-1,23,37,0.363,2755,297,0.0263,10473763,BB,0.023867446906436978,DPS21003
DPS21003-1,4,5,0.756,138,10,0.0013,10473763,VB,0.04970741008613321,DPS21003
DPS21003-1,24,37,0.839,2263,279,0.0216,10473763,BB,0.055164705108817144,DPS21003
DPS21003-1,5,7,0.382,3083,188,0.0294,10473763,BV,0.025116707212834505,DPS21003
DPS21003-1,6,7,0.74,1409,121,0.0135,10473763,VV,0.04865540140706161,DPS21003
DPS21003-1,7,9,0.84,1091,64,0.0104,10473763,BB,0.05523045565125912,DPS21003
DPS21003-1,8,10,0.642,480,17,0.0046,10473763,BB,0.04221184824774805,DPS21003
DPS21003-1,9,11,0.821,313,20,0.003,10473763,BV,0.05398119534486159,DPS21003
DPS21003-1,10,DP-IMP-3,12.533,1229,53,0.0117,10473763,VV,0.8240515484252745,DPS21003
DPS21003-1,11,13,0.027,1114,51,0.0106,10473763,VV,0.0017752646459333289,DPS21003
DPS21003-1,12,DP-IMP-2,14.021,226,11,0.0022,10473763,VB,0.9218883555789336,DPS21003
DPS21003-1,13,DP72,15.209,10402414,245739,99.3188,10473763,BV,1.0,DPS21003
DPS21003-1,14,18,0.152,4693,106,0.0448,10473763,VV,0.009994082451180223,DPS21003
DPS21003-1,15,19,0.378,1017,38,0.0097,10473763,VV,0.024853705043066606,DPS21003
DPS21003-1,16,DP-IMP-1,20.209,44337,1749,0.4233,10473763,VV,1.3287527122098757,DPS21003
DPS21003-1,17,26,0.006,404,13,0.0039,10473763,BV,0.0003945032546518509,DPS21003
DPS21003-1,18,28,0.139,834,18,0.008,10473763,BV,0.009139325399434546,DPS21003
DPS21003-1,19,34,0.164,742,123,0.0071,10473763,VS,0.010783088960483925,DPS21003
DPS21003-1,20,34,0.285,1849,216,0.0176,10473763,SV,0.018738904595962915,DPS21003
DPS21003-2,1,3,0.408,1254,124,0.012,10491469,BB,0.02684033945135188,DPS21003
DPS21003-2,21,35,0.279,395,44,0.0038,10491469,BB,0.018354055654233276,DPS21003
DPS21003-2,2,5,0.201,320,33,0.003,10491469,BV,0.01322281428853365,DPS21003
DPS21003-2,22,36,0.432,2529,134,0.0241,10491469,BB,0.02841918294849023,DPS21003
DPS21003-2,3,5,0.361,161,20,0.0015,10491469,VV,0.023748437602789288,DPS21003
DPS21003-2,23,37,0.36,2166,269,0.0206,10491469,BB,0.023682652457075192,DPS21003
DPS21003-2,4,5,0.762,61,7,0.0006,10491469,VB,0.05012828103414249,DPS21003
