Sample Name,Peak Number,Name,RT,Area,Height,% Area,Total Area,Int Type
DPS21003-1,10,DP-IMP-3,12.533,1229,53,0.0117,10473763,VV
DPS21003-1,12,DP-IMP-2,14.021,226,11,0.0022,10473763,VB
DPS21003-1,13,DP72,15.209,10402414,245739,99.3188,10473763,BV
DPS21003-1,16,DP-IMP-1,20.209,44337,1749,0.4233,10473763,VV
DPS21003-2,10,DP-IMP-3,12.539,1241,54,0.0118,10491469,VV
DPS21003-2,12,DP-IMP-2,14.034,221,11,0.0021,10491469,VB
DPS21003-2,13,DP72,15.201,10420387,250243,99.3225,10491469,BV
DPS21003-2,16,DP-IMP-1,20.212,44087,1748,0.4202,10491469,VV
DPS21003-3,10,DP-IMP-3,12.539,1203,53,0.0114,10505039,VV
DPS21003-3,12,DP-IMP-2,14.051,187,10,0.0018,10505039,BB
DPS21003-3,13,DP72,15.202,10433631,248061,99.3203,10505039,BV
DPS21003-3,16,DP-IMP-1,20.209,44293,1752,0.4216,10505039,VV
DPS22413-2,8,DP-IMP-3,12.933,1753,70,0.0166,10533696,VV
DPS22413-2,10,DP-IMP-2,14.236,603,35,0.0057,10533696,VB
DPS22413-2,11,DP72,15.703,10453904,263397,99.2425,10533696,BV
DPS22413-2,14,DP-IMP-1,20.806,53578,2089,0.5086,10533696,VB
DPS22413-3,8,DP-IMP-3,12.932,1727,70,0.0164,10549098,VV
DPS22413-3,10,DP-IMP-2,14.239,574,32,0.0054,10549098,VB
DPS22413-3,11,DP72,15.703,10468808,263734,99.2389,10549098,BV
DPS22413-3,14,DP-IMP-1,20.808,53729,2083,0.5093,10549098,VB
