RRT,DPS21003,DPS21004,DPS21005,DPS21006,DPS21007,DPS21008,DPS21009,DPS21010,DPS21011,DPS21012,DPS21013,DPS21014,DPS21015,DPS21016,DPS21017,DPS21018,DPS21019,DPS21020,DPS21021,DPS21022,DPS22001,DPS22002,DPS22003,DPS22004,DPS22005,DPS22006,DPS22007,DPS22008,DPS22009,DPS22010,DPS22011,DPS22012,DPS22013,DPS22014,DPS22015,DPS22016,DPS22017,DPS22018,DPS22019,DPS22413
0.22,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,,,,,,,,
0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
0.35,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,
0.37,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
0.38,0.00,0.00,,0.00,0.00,0.00,,,,,,,,,0.00,,0.00,0.00,,0.00,,,0.00,,,,,,,,,,,,,,,,,
0.47,,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,0.01,,0.02,,,,,,0.01,0.02,0.00,
0.48,,,,0.03,0.04,,0.04,0.03,0.03,,,,,,,,0.02,0.02,0.03,0.03,,0.02,0.01,0.03,,0.03,0.03,,0.01,0.02,0.02,0.03,0.02,0.01,,,,,,0.01
0.49,0.03,0.03,0.02,,,0.03,,,,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,,,0.03,0.02,0.02,0.03,0.03,,0.03,0.03,0.02,0.02,0.02,,0.02,0.02,0.02,0.01,0.02,0.01,,0.02
0.50,,,,,,,,,,0.01,0.01,0.01,0.01,,0.02,0.02,,,,,,,0.01,0.01,,,,,0.01,0.01,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,0.02,
0.51,0.01,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,,,,,0.02,,,0.02,0.02,0.01,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,,,,0.01,,,0.01,0.01,,,0.01,0.01
0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.01,
0.54,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,
0.55,,,,,,,,,,,,,,,,,,,0.00,0.00,,,0.00,,,,,,,,,,,,,,,,,
0.60,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.61,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,
0.64,,0.01,0.00,0.01,,,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,0.01,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,0.01,0.01,,0.01
0.65,0.01,0.01,0.00,,0.01,0.01,,,,,,,,,,,,,0.01,0.01,0.01,0.01,,,,0.01,0.01,0.01,,,,,,,0.01,0.01,,,,
